feature_1,feature_2,target
0.27502931836911926,0.22321073814882275,0
0.08693883262941615,0.4219218196852704,1
0.026535969683863625,0.1988376506866485,0
0.5892656838759087,0.8094304566778266,0
0.3402505165179919,0.15547949981178155,0
0.09671637683346401,0.8474943663474598,0
0.5362280914547007,0.9731157639793706,1
0.6185197523642461,0.8617069003107772,1
0.22789827565154686,0.28938796360210717,0
0.2779736031100921,0.6356844442644002,0
0.26697782204911336,0.936654587712494,1
0.7291267979503492,0.1634024937619284,1
0.5569497437746462,0.6846142509898746,1
0.03210024390403776,0.3154530480590819,0
0.8763676264726689,0.3146778807984779,1
0.4588518525873988,0.26488016649805246,0
0.5845859902235405,0.897822883602477,1
0.5095262936764645,0.09090941217379389,1
0.7920793643629641,0.42215996679968404,1
0.529114345099137,0.9710783776136181,0
0.6817103690265748,0.5369703304087952,1
0.434765250669105,0.45372370632920644,0
0.5005861130502983,0.17865188053013137,1
0.6389494948660052,0.6089702114381723,1
0.7786264786305582,0.5303536721951775,0
0.9290986162646171,0.8787218778231842,1
0.8780095992040405,0.9469494452979941,1
0.7606021652572316,0.7658344293069878,1
0.2650566289400591,0.8724330410852574,0
0.7299310690899762,0.2011510633896959,1
0.43810008391450406,0.5175758410355906,0
0.5883087184572333,0.230114732596577,1
0.22894178381115438,0.905420013006128,0
0.6689777782962806,0.2142368073704386,1
0.47267102631179414,0.7846194242907534,0
0.4310511824063775,0.4235786230199208,0
0.9841652113659661,0.09841787115195888,1
0.24865633392028563,0.1902089084408115,0
0.2498064478821005,0.9232655992760128,0
0.05058832952488124,0.9992824684127266,0
0.8486957344143055,0.16631111060391401,0
0.058635399972178925,0.3789731189769161,0
0.4550083673391433,0.4230074859901629,0
0.718408275296326,0.15479682527406413,0
0.5421952013742742,0.7479755603790641,1
0.8527198920482854,0.15743272793948326,0
0.5950351064500277,0.6752125536040902,1
0.24621534778862486,0.5945191535334412,1
0.5227827155319589,0.9347062577364272,1
0.3957858467912545,0.6716902229599713,1
0.07254311449315731,0.4582855226185861,0
0.2131543122670404,0.26520041475040135,0
0.36952708873888396,0.15774683235723197,0
0.9872330636315043,0.6539763177107326,0
0.6633887149660773,0.9389300039271039,1
0.5532236408848159,0.2723482123148163,0
0.6342379588850797,0.2639839016304094,0
0.09229846771273342,0.42357577256372636,0
0.6371133773013796,0.2619552624343482,0
0.009669699608339966,0.07524386007376704,0
0.8345950198860167,0.582509566489794,1
0.89898148874259,0.7961223048880417,1
0.24952973922292443,0.10279362167178563,0
0.6206615101507128,0.15455333833220464,0
0.8107717199403969,0.8814162046633244,0
0.9308158860483255,0.8022351389371389,1
0.7873745091354711,0.10809562640295711,1
0.816586605596929,0.4603032346789421,1
0.02366443470145152,0.19312978832770866,1
0.2791249927218714,0.6414817386076277,1
0.9392371403247157,0.11534175185142759,1
0.2654663625229686,0.1084025472147111,1
0.6062088533061433,0.5114230596694781,0
0.7087852838341706,0.0016912782186294661,1
0.7419500778394765,0.6706285044329995,0
0.3302000360425964,0.31391564505835967,1
0.30928466220865325,0.40839290861921684,1
0.4204463337729083,0.940363670730183,0
0.3009498745655653,0.5479372131356982,0
0.579984781195682,0.6547056237030716,0
0.47318618590932626,0.9011808258282542,0
0.5154520099152164,0.6329408557657957,0
0.672795670557167,0.22464066599728827,1
0.47513634421880513,0.8497376946247319,0
0.1944352367397093,0.6963542504905049,0
0.00554481813803176,0.7509644766184729,0
0.17588668170653166,0.9579660422795397,0
0.8483363473516597,0.45646182547017256,0
0.5954523184694197,0.9500396084431559,0
0.504778164824402,0.830569169721415,0
0.4746744368230533,0.25919154846501935,1
0.5212998128279821,0.6267484369817813,0
0.2717151070821846,0.3197095684187623,1
0.6939498122990523,0.7064191416945522,0
0.41577423410315595,0.20683438951441024,1
0.6955229864979681,0.8567320323039342,0
0.3517588026718247,0.7534751250593859,1
0.7475156689780508,0.5461323097338391,0
0.4358359760466366,0.02902481994671524,1
0.16504473120350882,0.46739014923231015,1
0.3940202563397047,0.5643919830247741,0
0.4616984440515117,0.05028463348862755,1
0.7612297078940271,0.3791262155641363,0
0.08190623276164255,0.01938328705001069,1
0.650144093249875,0.7812330496108949,0
0.1993606823625329,0.020380017320332344,1
0.5639695819300191,0.21796454090650363,0
0.6072474938909317,0.7479256519552858,0
0.10809874965760657,0.025678425497466018,1
0.3966544415166273,0.7150147050494684,1
0.10190130544597653,0.772480884951224,1
0.9838443515146713,0.7826353463610196,0
0.5059607896770779,0.3412311748612832,0
0.9607875672145786,0.6355851061014459,0
0.7337953040133919,0.9654737312380777,0
0.4834975038831961,0.4355744930038943,0
0.8307310188906034,0.0866628980556744,0
0.6103317042305206,0.37898930412826404,1
0.212119850179739,0.7978323568280965,1
0.2762685757561849,0.010151114438677111,0
0.48857784684878736,0.7581646534824664,1
0.7929328681323174,0.09305335055467168,0
0.5815555853323672,0.47326048875952476,0
0.33079129719593015,0.7028549421857689,1
0.1925842934515174,0.11955474125505283,0
